################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3081866312062324E+01 a       244     0    10     1    19
  1.2683723338045647E+01 a       245     0    10     1    20
  3.0218142731834977E+01 a       246     0    10     1    21
  2.8948601362499421E+01 a       247     0    10     1    22
  2.3086017496736719E+01 a       248     0    10     1    23
  1.9242234809950300E+01 a       249     0    10     1    24
  2.7689617686675212E+00 a       250     0    10     1    25
 -3.4029852714283342E+00 a       251     0    11     1     1
 -5.2814822415454126E+00 a       252     0    11     1     2
 -1.9995119598783786E+00 a       253     0    11     1     3
  1.9175656484979079E+01 a       254     0    11     1     4
  7.1928510738451639E+00 a       255     0    11     1     5
 -1.3238597016131447E+01 a       256     0    11     1     6
 -9.2749206903322290E-01 a       257     0    11     1     7
 -1.7925826206160920E+01 a       258     0    11     1     8
 -1.5201462806099080E+01 a       259     0    11     1     9
 -1.3992718676995477E+01 a       260     0    11     1    10
  1.1331662370613650E+01 a       261     0    11     1    11
 -3.1385411148178409E+01 a       262     0    11     1    12
  3.1236357266833473E+01 a       263     0    11     1    13
  1.3632830078191164E+01 a       264     0    11     1    14
  3.2765101980618216E+00 a       265     0    11     1    15
  9.2334352937606674E+00 a       266     0    11     1    16
 -1.0127919235976039E+00 a       267     0    11     1    17
 -4.9146637366237783E+01 a       268     0    11     1    18
 -1.3817196807741013E+01 a       269     0    11     1    19
 -2.3257594139355053E+01 a       270     0    11     1    20
  4.3961363890359726E+00 a       271     0    11     1    21
 -2.1607841968323700E+00 a       272     0    11     1    22
 -5.9825047123601294E+01 a       273     0    11     1    23
 -3.7634019410865291E+00 a       274     0    11     1    24
  2.4567873827618431E+01 a       275     0    11     1    25
 -1.4397558405741340E+00 a       276     0    12     1     1
  4.7561155722863226E+00 a       277     0    12     1     2
 -1.7974015960331797E+00 a       278     0    12     1     3
 -1.4194446707514183E+01 a       279     0    12     1     4
 -3.5456834969348733E+01 a       280     0    12     1     5
 -1.4961372389044872E+01 a       281     0    12     1     6
 -2.5985044816980061E+01 a       282     0    12     1     7
 -3.3837353906269968E+01 a       283     0    12     1     8
  6.4782550741937408E+00 a       284     0    12     1     9
 -1.6307494390675338E+01 a       285     0    12     1    10
  7.7454645083916036E+00 a       286     0    12     1    11
 -1.3941120058765337E+01 a       287     0    12     1    12
  1.2476373108073151E+00 a       288     0    12     1    13
  7.0949112873370135E+00 a       289     0    12     1    14
 -1.5222773640244902E-01 a       290     0    12     1    15
 -2.6139151483733563E+01 a       291     0    12     1    16
  1.4650825908624363E+01 a       292     0    12     1    17
 -2.1484978411644754E+01 a       293     0    12     1    18
 -2.5410583014833936E+01 a       294     0    12     1    19
 -1.7294869221340550E-01 a       295     0    12     1    20
  1.0160604632861691E+01 a       296     0    12     1    21
 -2.4620537195856315E+01 a       297     0    12     1    22
 -1.6640738934737072E+00 a       298     0    12     1    23
  4.5807000056360792E+01 a       299     0    12     1    24
 -1.6170920613653397E+01 a       300     0    12     1    25
  7.1259076877382352E-02 a       301     0    13     1     1
  8.8220013713039547E-01 a       302     0    13     1     2
  1.1285910264784484E+00 a       303     0    13     1     3
 -3.8899331277968403E+00 a       304     0    13     1     4
 -2.8619281305949476E+00 a       305     0    13     1     5
  9.3537283339794772E+00 a       306     0    13     1     6
 -8.3548640411849684E-01 a       307     0    13     1     7
  6.4508135642823703E+00 a       308     0    13     1     8
  5.2817860886982952E+00 a       309     0    13     1     9
  3.6525362596045357E+00 a       310     0    13     1    10
 -1.5742442641410705E+00 a       311     0    13     1    11
  1.3208166006831279E+01 a       312     0    13     1    12
  1.9352200540531606E+00 a       313     0    13     1    13
 -7.1061538966764335E+00 a       314     0    13     1    14
  3.0365749946087774E+00 a       315     0    13     1    15
 -1.4232801826280006E+01 a       316     0    13     1    16
  3.6487450871183000E+00 a       317     0    13     1    17
  8.4467990771035186E+00 a       318     0    13     1    18
  9.8177495133721955E+00 a       319     0    13     1    19
  5.2083988041239628E+00 a       320     0    13     1    20
  6.0520266562081968E+00 a       321     0    13     1    21
  1.8230373328024045E+00 a       322     0    13     1    22
  2.2872193260039168E+01 a       323     0    13     1    23
  4.4113839051490616E-01 a       324     0    13     1    24
 -4.1580301705653939E+00 a       325     0    13     1    25
  3.8431910536806402E-01 a       326     0    14     1     1
  1.0685398596082178E+00 a       327     0    14     1     2
 -2.9785823915121640E-01 a       328     0    14     1     3
  2.8001072572862942E+00 a       329     0    14     1     4
  4.7768981737529908E+00 a       330     0    14     1     5
